epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6490740776062012,9.999999747378752e-05,1.633507490158081,0.6370370388031006,1.452865481376648
1,0.8574073910713196,9.999999747378752e-05,0.5891920924186707,0.7092592716217041,1.257022738456726
2,0.9370370507240295,9.999999747378752e-05,0.3154314458370209,0.7129629850387573,1.3806174993515015
3,0.9527778029441833,9.999999747378752e-05,0.26101604104042053,0.7648147940635681,1.0569937229156494
4,0.9777777791023254,9.999999747378752e-05,0.1914782077074051,0.7888888716697693,0.9408727884292603
5,0.9777777791023254,9.999999747378752e-05,0.18701982498168945,0.8222222328186035,0.8647674322128296
6,0.9782407283782959,9.999999747378752e-05,0.18508225679397583,0.8129629492759705,0.8420687317848206
7,0.9782407283782959,9.999999747378752e-05,0.17960134148597717,0.8370370268821716,0.8169857859611511
8,0.979629635810852,9.999999747378752e-05,0.17567035555839539,0.8111110925674438,0.8842244744300842
9,0.9865740537643433,9.999999747378752e-05,0.15818795561790466,0.8444444537162781,0.7736477851867676
10,0.9824073910713196,9.999999747378752e-05,0.166997492313385,0.8666666746139526,0.7730790972709656
11,0.9754629731178284,9.999999747378752e-05,0.19164007902145386,0.8240740895271301,1.0320783853530884
12,0.9782407283782959,9.999999747378752e-05,0.17521587014198303,0.8333333134651184,1.1509771347045898
13,0.9851852059364319,9.999999747378752e-05,0.1533517986536026,0.8611111044883728,0.8786400556564331
14,0.9837962985038757,9.999999747378752e-05,0.16662637889385223,0.8574073910713196,0.7896924018859863
15,0.9847221970558167,9.999999747378752e-05,0.16442397236824036,0.8722222447395325,0.8483541011810303
16,0.9814814925193787,9.999999747378752e-05,0.18620528280735016,0.8537036776542664,1.0938917398452759
17,0.9787036776542664,9.999999747378752e-05,0.18854020535945892,0.8481481671333313,0.9708417057991028
18,0.9861111044883728,4.999999873689376e-05,0.15539465844631195,0.8740741014480591,0.8540564775466919
19,0.9912037253379822,4.999999873689376e-05,0.13998208940029144,0.8703703880310059,0.7965328693389893
20,0.9935185313224792,4.999999873689376e-05,0.12954244017601013,0.8703703880310059,0.8140819668769836
21,0.9962962865829468,4.999999873689376e-05,0.12149345874786377,0.885185182094574,0.7580080628395081
22,0.9967592358589172,4.999999873689376e-05,0.11844252049922943,0.8981481194496155,0.6443591713905334
23,0.9972222447395325,4.999999873689376e-05,0.12316849082708359,0.8981481194496155,0.6350563764572144
24,0.9967592358589172,4.999999873689376e-05,0.1186336800456047,0.894444465637207,0.6199857592582703
25,0.9986110925674438,4.999999873689376e-05,0.11526205390691757,0.894444465637207,0.6237685680389404
26,0.9962962865829468,4.999999873689376e-05,0.1173548772931099,0.8962963223457336,0.6385452747344971
27,0.9958333373069763,4.999999873689376e-05,0.11856971681118011,0.8907407522201538,0.6743717789649963
28,0.9953703880310059,4.999999873689376e-05,0.12155578285455704,0.894444465637207,0.6732368469238281
29,0.9986110925674438,4.999999873689376e-05,0.11540750414133072,0.8925926089286804,0.6447084546089172
30,0.9972222447395325,4.999999873689376e-05,0.12282822281122208,0.8907407522201538,0.7068125605583191
31,0.9981481432914734,4.999999873689376e-05,0.1149296835064888,0.8907407522201538,0.7168310284614563
32,0.9990741014480591,2.499999936844688e-05,0.1138598769903183,0.8925926089286804,0.6859995126724243
33,0.9986110925674438,2.499999936844688e-05,0.1129474937915802,0.9037036895751953,0.6485271453857422
34,0.9990741014480591,2.499999936844688e-05,0.11227399110794067,0.9037036895751953,0.620535135269165
35,0.9972222447395325,2.499999936844688e-05,0.1126999631524086,0.8925926089286804,0.6415539383888245
36,0.9986110925674438,2.499999936844688e-05,0.11383931338787079,0.8962963223457336,0.7014557719230652
37,0.9986110925674438,2.499999936844688e-05,0.11438699811697006,0.9037036895751953,0.6451677680015564
38,0.9990741014480591,2.499999936844688e-05,0.10988221317529678,0.9055555462837219,0.6155307292938232
39,1.0,2.499999936844688e-05,0.10879692435264587,0.9092592597007751,0.5990530848503113
40,0.9986110925674438,2.499999936844688e-05,0.11019640415906906,0.9092592597007751,0.5983722805976868
41,0.9981481432914734,2.499999936844688e-05,0.1118256002664566,0.9037036895751953,0.623686671257019
42,1.0,2.499999936844688e-05,0.10825061053037643,0.8999999761581421,0.5964034795761108
43,0.9995370507240295,2.499999936844688e-05,0.10881974548101425,0.8999999761581421,0.5777875781059265
44,0.9990741014480591,2.499999936844688e-05,0.11029702425003052,0.8981481194496155,0.6255515217781067
45,0.9995370507240295,2.499999936844688e-05,0.1089664176106453,0.9037036895751953,0.623492419719696
46,0.9995370507240295,2.499999936844688e-05,0.10826914757490158,0.9092592597007751,0.5962045192718506
47,0.9995370507240295,2.499999936844688e-05,0.11128351837396622,0.9092592597007751,0.5799195170402527
48,0.9981481432914734,2.499999936844688e-05,0.11021573841571808,0.9092592597007751,0.6367087364196777
49,0.9976851940155029,2.499999936844688e-05,0.1147456020116806,0.8981481194496155,0.7402920126914978
