epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.19583334028720856,0.0003000000142492354,2.3800606727600098,0.11666666716337204,2.316925048828125
1,0.3166666626930237,0.0003000000142492354,1.9987235069274902,0.10000000149011612,2.313056468963623
2,0.3375000059604645,0.0003000000142492354,1.8589186668395996,0.15000000596046448,2.3127450942993164
3,0.44583332538604736,0.0003000000142492354,1.7123123407363892,0.06666667014360428,2.319343090057373
4,0.4166666567325592,0.0003000000142492354,1.6475176811218262,0.10000000149011612,2.326397180557251
5,0.5,0.0003000000142492354,1.4397368431091309,0.10000000149011612,2.3493800163269043
6,0.5166666507720947,0.0003000000142492354,1.3596343994140625,0.10000000149011612,2.3995962142944336
7,0.5291666388511658,0.0003000000142492354,1.2872328758239746,0.10000000149011612,2.462294101715088
8,0.5874999761581421,0.0003000000142492354,1.2638036012649536,0.10000000149011612,2.5783448219299316
9,0.625,0.0003000000142492354,1.1935229301452637,0.10000000149011612,2.6876399517059326
10,0.6208333373069763,0.0003000000142492354,1.1698583364486694,0.10000000149011612,2.787489175796509
11,0.6208333373069763,0.0001500000071246177,1.1098157167434692,0.10000000149011612,2.9403865337371826
12,0.6666666865348816,0.0001500000071246177,1.0054411888122559,0.10000000149011612,3.115233898162842
13,0.6708333492279053,0.0001500000071246177,1.0018653869628906,0.10000000149011612,3.284285545349121
14,0.6625000238418579,0.0001500000071246177,1.0356398820877075,0.10000000149011612,3.425583600997925
15,0.7041666507720947,0.0001500000071246177,0.9642618298530579,0.10000000149011612,3.6061558723449707
16,0.6499999761581421,0.0001500000071246177,0.98438960313797,0.10000000149011612,3.8266286849975586
17,0.7208333611488342,0.0001500000071246177,0.9148646593093872,0.10000000149011612,3.9483461380004883
18,0.7124999761581421,0.0001500000071246177,0.9325870275497437,0.10000000149011612,4.1683173179626465
19,0.7124999761581421,7.500000356230885e-05,0.8938246965408325,0.10000000149011612,4.296452045440674
20,0.7124999761581421,7.500000356230885e-05,0.894483745098114,0.10000000149011612,4.4137115478515625
21,0.7250000238418579,7.500000356230885e-05,0.8510628342628479,0.10000000149011612,4.5084357261657715
22,0.7833333611488342,7.500000356230885e-05,0.8040767312049866,0.10000000149011612,4.634757995605469
